Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,22.400000,22.400000,22.400000,22.400000,17.533932,0
2000-11-14,22.889999,22.889999,22.889999,22.889999,17.917488,0
2000-11-15,23.120001,23.120001,23.120001,23.120001,18.097528,0
2000-11-16,22.650000,22.650000,22.650000,22.650000,17.729626,0
2000-11-17,22.700001,22.700001,22.700001,22.700001,17.768764,0
2000-11-20,22.120001,22.120001,22.120001,22.120001,17.314760,0
2000-11-21,21.959999,21.959999,21.959999,21.959999,17.189516,0
2000-11-22,21.540001,21.540001,21.540001,21.540001,16.860758,0
2000-11-24,22.190001,22.190001,22.190001,22.190001,17.369553,0
2000-11-27,22.180000,22.180000,22.180000,22.180000,17.361723,0
2000-11-28,21.590000,21.590000,21.590000,21.590000,16.899899,0
2000-11-29,21.389999,21.389999,21.389999,21.389999,16.743341,0
2000-11-30,20.980000,20.980000,20.980000,20.980000,16.422405,0
2000-12-01,21.490000,21.490000,21.490000,21.490000,16.821621,0
2000-12-04,21.190001,21.190001,21.190001,21.190001,16.586788,0
2000-12-05,22.160000,22.160000,22.160000,22.160000,17.346071,0
2000-12-06,21.809999,21.809999,21.809999,21.809999,17.072102,0
2000-12-07,21.700001,21.700001,21.700001,21.700001,16.985998,0
2000-12-08,22.540001,22.540001,22.540001,22.540001,17.643524,0
2000-12-11,22.920000,22.920000,22.920000,22.920000,17.940971,0
2000-12-12,22.480000,22.480000,22.480000,22.480000,17.596552,0
2000-12-13,22.110001,22.110001,22.110001,22.110001,17.306934,0
2000-12-14,21.740000,21.740000,21.740000,21.740000,17.017311,0
2000-12-15,21.559999,21.559999,21.559999,21.559999,16.876413,0
2000-12-18,21.809999,21.809999,21.809999,21.809999,17.072102,0
2000-12-19,21.600000,21.600000,21.600000,21.600000,16.907719,0
2000-12-20,17.830000,17.830000,17.830000,17.830000,13.956699,0
2000-12-21,17.959999,17.959999,17.959999,17.959999,14.058458,0
2000-12-22,18.600000,18.600000,18.600000,18.600000,14.559426,0
2000-12-26,18.740000,18.740000,18.740000,18.740000,14.669016,0
2000-12-27,19.260000,19.260000,19.260000,19.260000,15.076052,0
2000-12-28,19.850000,19.850000,19.850000,19.850000,15.537887,0
2000-12-29,19.440001,19.440001,19.440001,19.440001,15.216947,0
2001-01-02,18.590000,18.590000,18.590000,18.590000,14.551600,0
2001-01-03,19.469999,19.469999,19.469999,19.469999,15.240435,0
2001-01-04,19.190001,19.190001,19.190001,19.190001,15.021264,0
2001-01-05,18.620001,18.620001,18.620001,18.620001,14.575079,0
2001-01-08,18.570000,18.570000,18.570000,18.570000,14.535944,0
2001-01-09,18.660000,18.660000,18.660000,18.660000,14.606394,0
2001-01-10,19.129999,19.129999,19.129999,19.129999,14.974293,0
2001-01-11,19.459999,19.459999,19.459999,19.459999,15.232603,0
2001-01-12,19.540001,19.540001,19.540001,19.540001,15.295230,0
2001-01-16,19.840000,19.840000,19.840000,19.840000,15.530054,0
2001-01-17,19.850000,19.850000,19.850000,19.850000,15.537887,0
2001-01-18,19.850000,19.850000,19.850000,19.850000,15.537887,0
2001-01-19,19.639999,19.639999,19.639999,19.639999,15.373504,0
2001-01-22,19.719999,19.719999,19.719999,19.719999,15.436120,0
2001-01-23,20.200001,20.200001,20.200001,20.200001,15.811859,0
2001-01-24,20.209999,20.209999,20.209999,20.209999,15.819678,0
2001-01-25,20.080000,20.080000,20.080000,20.080000,15.717919,0
2001-01-26,20.070000,20.070000,20.070000,20.070000,15.710093,0
2001-01-29,20.440001,20.440001,20.440001,20.440001,15.999706,0
2001-01-30,20.590000,20.590000,20.590000,20.590000,16.117126,0
2001-01-31,20.459999,20.459999,20.459999,20.459999,16.015373,0
2001-02-01,20.490000,20.490000,20.490000,20.490000,16.038853,0
2001-02-02,20.170000,20.170000,20.170000,20.170000,15.788369,0
2001-02-05,20.160000,20.160000,20.160000,20.160000,15.780540,0
2001-02-06,20.360001,20.360001,20.360001,20.360001,15.937094,0
2001-02-07,20.420000,20.420000,20.420000,20.420000,15.984066,0
2001-02-08,20.250000,20.250000,20.250000,20.250000,15.850988,0
2001-02-09,20.010000,20.010000,20.010000,20.010000,15.663126,0
2001-02-12,20.350000,20.350000,20.350000,20.350000,15.929279,0
2001-02-13,20.240000,20.240000,20.240000,20.240000,15.843164,0
2001-02-14,20.280001,20.280001,20.280001,20.280001,15.874472,0
2001-02-15,20.500000,20.500000,20.500000,20.500000,16.046684,0
2001-02-16,20.110001,20.110001,20.110001,20.110001,15.741405,0
2001-02-20,19.790001,19.790001,19.790001,19.790001,15.490917,0
2001-02-21,19.480000,19.480000,19.480000,19.480000,15.248260,0
2001-02-22,19.230000,19.230000,19.230000,19.230000,15.052567,0
2001-02-23,19.240000,19.240000,19.240000,19.240000,15.060398,0
2001-02-26,19.670000,19.670000,19.670000,19.670000,15.396991,0
2001-02-27,19.290001,19.290001,19.290001,19.290001,15.099540,0
2001-02-28,19.120001,19.120001,19.120001,19.120001,14.966463,0
2001-03-01,19.070000,19.070000,19.070000,19.070000,14.927328,0
2001-03-02,19.219999,19.219999,19.219999,19.219999,15.044740,0
2001-03-05,19.170000,19.170000,19.170000,19.170000,15.005606,0
2001-03-06,19.389999,19.389999,19.389999,19.389999,15.177811,0
2001-03-07,19.540001,19.540001,19.540001,19.540001,15.295230,0
2001-03-08,19.400000,19.400000,19.400000,19.400000,15.185642,0
2001-03-09,19.090000,19.090000,19.090000,19.090000,14.942985,0
2001-03-12,18.480000,18.480000,18.480000,18.480000,14.465495,0
2001-03-13,18.629999,18.629999,18.629999,18.629999,14.582912,0
2001-03-14,18.290001,18.290001,18.290001,18.290001,14.316772,0
2001-03-15,18.230000,18.230000,18.230000,18.230000,14.269806,0
2001-03-16,17.820000,17.820000,17.820000,17.820000,13.948871,0
2001-03-19,18.200001,18.200001,18.200001,18.200001,14.246318,0
2001-03-20,17.920000,17.920000,17.920000,17.920000,14.027147,0
2001-03-21,17.570000,17.570000,17.570000,17.570000,13.753179,0
2001-03-22,17.450001,17.450001,17.450001,17.450001,13.659248,0
2001-03-23,17.879999,17.879999,17.879999,17.879999,13.995839,0
2001-03-26,18.040001,18.040001,18.040001,18.040001,14.121079,0
2001-03-27,18.270000,18.270000,18.270000,18.270000,14.301116,0
2001-03-28,17.840000,17.840000,17.840000,17.840000,13.964523,0
2001-03-29,17.820000,17.820000,17.820000,17.820000,13.948871,0
2001-03-30,18.180000,18.180000,18.180000,18.180000,14.230665,0
2001-04-02,17.750000,17.750000,17.750000,17.750000,13.894078,0
2001-04-03,17.230000,17.230000,17.230000,17.230000,13.487038,0
2001-04-04,17.190001,17.190001,17.190001,17.190001,13.455729,0
2001-04-05,17.950001,17.950001,17.950001,17.950001,14.050629,0
2001-04-06,17.549999,17.549999,17.549999,17.549999,13.737525,0
2001-04-09,17.830000,17.830000,17.830000,17.830000,13.956699,0
2001-04-10,18.240000,18.240000,18.240000,18.240000,14.277633,0
2001-04-11,18.139999,18.139999,18.139999,18.139999,14.199358,0
2001-04-12,18.370001,18.370001,18.370001,18.370001,14.379392,0
2001-04-16,18.200001,18.200001,18.200001,18.200001,14.246318,0
